program_id,enabled,program_name,application_rate,default_cost,n_appl,theta,tau,b0,b1,b0_se,b1_se
1,TRUE,Cobra @ R1,8 fl oz,2.7,1,0.498969,0.498969,0.0733,0.55,0.029,0.204
2,TRUE,Cobra @ V4/V5,8 fl oz,2.7,1,0.8233,0.8233,0.0733,0.55,0.029,0.204
3,TRUE,Delaro Complete @ R3,8 fl oz,27.03,1,0.7076,0.7076,0.0733,0.55,0.029,0.204
4,TRUE,Endura @ R1 fb R3,8 fl oz ea.,82.64,2,0.35,0.35,0.0733,0.55,0.029,0.204
5,TRUE,Endura @ R3,8 fl oz,41.32,1,0.4755,0.4755,0.0733,0.55,0.029,0.204
6,TRUE,Miravis Neo @ R3,16 fl oz,27.92,1,0.826,0.826,0.0733,0.55,0.029,0.204
7,TRUE,Omega @ R1 fb Miravis Neo @ R3,16 fl oz ea.,86.96,2,0.6861,0.6861,0.0733,0.55,0.029,0.204
8,TRUE,Omega @ R3,16 fl oz,59.04,1,0.6305,0.6305,0.0733,0.55,0.029,0.204
